Filename;Filetype;DTX_VERSION;Width;Height;Mipmaps Used;DTX Flags;DTX_PREFER4444;DTX_NOSYSCACHE;DTX_SECTIONSFIXED;DTX_MIPSALLOCED;DTX_PREFER16BIT;DTX_FULLBRITE;DTX_LUMBUMPMAP;DTX_BUMPMAP;DTX_CUBEMAP;DTX_32BITSYSCOPY;DTX_PREFER5551;Unknown;Surface Flag;Texture Group;BPP;Non S3TC Offset;UI Mipmap Offset;Texture Priority;Detail Scale;Detail Angle;Command String;Light String
PROPS\SKINS\TREE_03T.DTX;0;DTX_VERSION_LT2;128;512;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;30;4;BPP_S3TC_DXT5;1;1;0;0.0;0;AlphaRef 96;
PROPS\SKINS\TREE_04.DTX;0;DTX_VERSION_LT2;256;512;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;73;4;BPP_32;0;1;0;0.0;0;alpharef 96;
PROPS\SKINS\TREE_04B.DTX;0;DTX_VERSION_LT2;256;512;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;4;BPP_8P;0;1;0;0.0;0;AlphaRef 96;
PROPS\SKINS\TREE_04T.DTX;0;DTX_VERSION_LT2;128;512;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;30;4;BPP_S3TC_DXT5;1;1;0;0.0;0;AlphaRef 96;
PROPS\SKINS\TREE_05T.DTX;0;DTX_VERSION_LT2;128;256;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;30;4;BPP_S3TC_DXT5;1;1;0;0.0;0;AlphaRef 96;
PROPS\SKINS\TREE_06.DTX;0;DTX_VERSION_LT2;256;256;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;73;4;BPP_32;0;1;0;0.0;0;alpharef 96;
PROPS\SKINS\TREE_06B.DTX;0;DTX_VERSION_LT2;256;256;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;4;BPP_8P;0;1;0;0.0;0;AlphaRef 96;
PROPS\SKINS\TREE_06S.DTX;0;DTX_VERSION_LT2;512;256;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;4;BPP_32;0;1;0;0.0;0;alpharef 96;
PROPS\SKINS\TREE_06ST.DTX;0;DTX_VERSION_LT2;128;512;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;30;4;BPP_8P;1;1;0;0.0;0;AlphaRef 96;
PROPS\SKINS\TREE_06T.DTX;0;DTX_VERSION_LT2;128;512;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;30;4;BPP_S3TC_DXT5;1;1;0;0.0;0;AlphaRef 96;
